title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption ,1994,"
                        2h 22min
                    ","
Crime; 
Drama
","""Frank Darabont""","""Stephen King;Frank Darabont""","""Tim Robbins;Morgan Freeman;Bob Gunton""",9.3,"1,911,656"
The Godfather ,1972,"
                        2h 55min
                    ","
Crime; 
Drama
","""Francis Ford Coppola""","""Mario Puzo;Francis Ford Coppola""","""Marlon Brando;Al Pacino;James Caan""",9.2,"1,306,324"
The Godfather: Part II ,1974,"
                        3h 22min
                    ","
Crime; 
Drama
","""Francis Ford Coppola""","""Francis Ford Coppola;Mario Puzo""","""Al Pacino;Robert De Niro;Robert Duvall""",9.0,"901,660"
The Dark Knight ,2008,"
                        2h 32min
                    ","
Action; 
Crime; 
Thriller
","""Christopher Nolan""","""Jonathan Nolan;Christopher Nolan""","""Christian Bale;Heath Ledger;Aaron Eckhart""",9.0,"1,884,409"
12 Angry Men ,1957,"
                        1h 36min
                    ","
Crime; 
Drama
","""Sidney Lumet""","""Reginald Rose;Reginald Rose""","""Henry Fonda;Lee J. Cobb;Martin Balsam""",8.9,"526,638"
Schindler's List ,1993,"
                        3h 15min
                    ","
Biography; 
Drama; 
History
","""Steven Spielberg""","""Thomas Keneally;Steven Zaillian""","""Liam Neeson;Ralph Fiennes;Ben Kingsley""",8.9,"983,790"
Pulp Fiction ,1994,"
                        2h 34min
                    ","
Crime; 
Drama
","""Quentin Tarantino""","""Quentin Tarantino;Roger Avary""","""John Travolta;Uma Thurman;Samuel L. Jackson""",8.9,"1,493,955"
The Lord of the Rings: The Return of the King ,2003,"
                        3h 21min
                    ","
Adventure; 
Drama; 
Fantasy
","""Peter Jackson""","""J.R.R. Tolkien;Fran Walsh""","""Elijah Wood;Viggo Mortensen;Ian McKellen""",8.9,"1,364,994"
"Il buono, il brutto, il cattivo ",1966,"
                        2h 41min
                    ","
Western
","""Sergio Leone""","""Luciano Vincenzoni;Sergio Leone""","""Clint Eastwood;Eli Wallach;Lee Van Cleef""",8.9,"565,567"
Fight Club ,1999,"
                        2h 19min
                    ","
Drama
","""David Fincher""","""Chuck Palahniuk;Jim Uhls""","""Brad Pitt;Edward Norton;Meat Loaf""",8.8,"1,531,175"
The Lord of the Rings: The Fellowship of the Ring ,2001,"
                        2h 58min
                    ","
Adventure; 
Drama; 
Fantasy
","""Peter Jackson""","""J.R.R. Tolkien;Fran Walsh""","""Elijah Wood;Ian McKellen;Orlando Bloom""",8.8,"1,385,019"
Forrest Gump ,1994,"
                        2h 22min
                    ","
Drama; 
Romance
","""Robert Zemeckis""","""Winston Groom;Eric Roth""","""Tom Hanks;Robin Wright;Gary Sinise""",8.8,"1,444,931"
Star Wars: Episode V - The Empire Strikes Back ,1980,"
                        2h 4min
                    ","
Action; 
Adventure; 
Fantasy
","""Irvin Kershner""","""Leigh Brackett;Lawrence Kasdan""","""Mark Hamill;Harrison Ford;Carrie Fisher""",8.8,"960,735"
