# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20080101,   19
  260,20080102,   -6
  260,20080103,    6
  260,20080104,   33
  260,20080105,   67
  260,20080106,   37
  260,20080107,   71
  260,20080108,   60
  260,20080109,   65
  260,20080110,   76
  260,20080111,   97
  260,20080112,   58
  260,20080113,   56
  260,20080114,   66
  260,20080115,   85
  260,20080116,   72
  260,20080117,   61
  260,20080118,   97
  260,20080119,  109
  260,20080120,  116
  260,20080121,  101
  260,20080122,   44
  260,20080123,   69
  260,20080124,   85
  260,20080125,   66
  260,20080126,   82
  260,20080127,   86
  260,20080128,   83
  260,20080129,   64
  260,20080130,   46
  260,20080131,   45
  260,20080201,   59
  260,20080202,   31
  260,20080203,   31
  260,20080204,   59
  260,20080205,   78
  260,20080206,   73
  260,20080207,   49
  260,20080208,   68
  260,20080209,   56
  260,20080210,   55
  260,20080211,   54
  260,20080212,   50
  260,20080213,   17
  260,20080214,   32
  260,20080215,   20
  260,20080216,   -5
  260,20080217,   -7
  260,20080218,    4
  260,20080219,   17
  260,20080220,   11
  260,20080221,   71
  260,20080222,   98
  260,20080223,   84
  260,20080224,   95
  260,20080225,   79
  260,20080226,   99
  260,20080227,   71
  260,20080228,   69
  260,20080229,   72
  260,20080301,   94
  260,20080302,   99
  260,20080303,   61
  260,20080304,   28
  260,20080305,   34
  260,20080306,   74
  260,20080307,   69
  260,20080308,   67
  260,20080309,   77
  260,20080310,   63
  260,20080311,   83
  260,20080312,   80
  260,20080313,   80
  260,20080314,   74
  260,20080315,   80
  260,20080316,   80
  260,20080317,   48
  260,20080318,   39
  260,20080319,   40
  260,20080320,   53
  260,20080321,   35
  260,20080322,   18
  260,20080323,    7
  260,20080324,   14
  260,20080325,   13
  260,20080326,   29
  260,20080327,   45
  260,20080328,   67
  260,20080329,   94
  260,20080330,   93
  260,20080331,   91
  260,20080401,   85
  260,20080402,   85
  260,20080403,   78
  260,20080404,   88
  260,20080405,   70
  260,20080406,   41
  260,20080407,   31
  260,20080408,   37
  260,20080409,   58
  260,20080410,   64
  260,20080411,   78
  260,20080412,   79
  260,20080413,   78
  260,20080414,   64
  260,20080415,   56
  260,20080416,   46
  260,20080417,   62
  260,20080418,   81
  260,20080419,   89
  260,20080420,  118
  260,20080421,  128
  260,20080422,  132
  260,20080423,  132
  260,20080424,  116
  260,20080425,  107
  260,20080426,  146
  260,20080427,  169
  260,20080428,  124
  260,20080429,  111
  260,20080430,  125
  260,20080501,   99
  260,20080502,  104
  260,20080503,  131
  260,20080504,  156
  260,20080505,  163
  260,20080506,  175
  260,20080507,  183
  260,20080508,  188
  260,20080509,  196
  260,20080510,  205
  260,20080511,  197
  260,20080512,  198
  260,20080513,  192
  260,20080514,  190
  260,20080515,  168
  260,20080516,  130
  260,20080517,  109
  260,20080518,  104
  260,20080519,   92
  260,20080520,  109
  260,20080521,  132
  260,20080522,  150
  260,20080523,  171
  260,20080524,  184
  260,20080525,  149
  260,20080526,  139
  260,20080527,  173
  260,20080528,  194
